"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC#","LCSC","LCSC part"
"C5","1","220uF","","","","Capacitor_SMD:C_Elec_5x5.4","","","","C3345"
"C6","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","","","",""
"C8,C9","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","","","",""
"C10","1","2200uF","","","","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","","","",""
"C11","1","1nf 2kv","","","","Capacitor_SMD:C_1206_3216Metric","","","C23631",""
"C12","1","100uF 35v","","","","Capacitor_SMD:CP_Elec_6.3x7.7","","","",""
"C13,C14,C15","3","100nf","","","","Capacitor_SMD:C_0805_2012Metric","","","C476766",""
"C16","1","10uf","","","","Capacitor_SMD:C_0805_2012Metric","","","C95841",""
"C17","1","22uF 10v","","","","Capacitor_SMD:CP_Elec_5x5.4","","","","C602037"
"Conn_01x04","1","Conn_01x04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","","","","C53055674"
"CR1,CR2","2","SK34A-LTP","","","","SK34A-LTP:SMADO-214AC_MCC","SK34A-LTP","","C85269",""
"D2,D3,D5,D6,D7,D8","6","1N4148","","","","Diode_SMD:D_SOD-123","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","",""
"D4","1","1N5822","","","","Diode_SMD:D_SMC","http://www.vishay.com/docs/88526/1n5820.pdf","","",""
"D9","1","SMAJ15A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","",""
"EC-sensor1,PH-sensor1,vout1","3","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","C49257"
"F1,F2","2","PGB1010603MRHF","","","","PGB1010603:FUSE_PGB10106_LTF","PGB1010603MRHF","","C2649884",""
"F3","1","Polyfuse","","","","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","","","","C70138"
"I2C1","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","C53055674"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","USB_TYPE_C_standing:USB_C_Standing","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","C720628"
"J2","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","C53055672"
"J3","1","Conn_01x15","","","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","","","","C2932704"
"J4,J5,J6,J7,J8,J9","6","Screw_Terminal_01x03","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","","","","C395869"
"J10","1","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","","","C32713272"
"J11","1","DC-005 2.0mm","","","","lcsc_footprints:C84007_DC-IN-TH_DC-005C-20A","https://www.lcsc.com/datasheet/lcsc_datasheet_2108131530_Korean-Hroparts-Elec-DC-005C-20A_C84007.pdf","","C84007",""
